Node,Degree
103.216.15.12,1
84.9.164.252,1
78.199.217.198,1
66.191.137.154,1
63.79.210.48,1
198.219.82.17,1
163.42.196.10,1
101.228.192.255,1
71.166.185.76,1
189.243.174.238,1
198.102.5.160,1
147.190.155.133,1
97.253.103.59,1
77.16.101.53,1
11.48.99.245,1
178.157.14.116,1
49.32.208.167,1
72.202.237.9,1
114.109.149.113,1
160.88.194.172,1
177.21.83.200,1
196.218.124.169,1
92.4.25.171,1
112.43.185.24,1
57.91.207.84,1
98.96.110.38,1
80.28.21.123,1
111.204.103.106,1
54.163.130.178,1
62.112.149.214,1
130.163.192.252,1
12.192.2.112,1
4.255.187.165,1
136.159.186.239,1
212.164.196.41,1
32.26.31.49,1
119.101.120.119,1
47.125.34.52,1
104.176.150.78,1
110.80.185.102,1
116.61.253.182,1
170.92.148.90,1
214.247.90.42,1
196.26.121.164,1
57.7.171.107,1
76.146.23.52,1
46.236.76.78,1
68.194.124.162,1
71.41.31.239,1
105.193.254.47,1
128.47.86.24,1
9.149.23.14,1
182.232.245.98,1
153.211.183.215,1
208.44.127.159,1
121.167.40.167,1
197.137.61.248,1
87.49.219.65,1
69.60.34.24,1
160.208.108.125,1
110.207.118.63,1
172.36.150.79,1
188.40.103.145,1
84.139.233.32,1
99.8.190.190,1
91.166.229.253,1
128.62.6.140,1
4.104.218.143,1
211.43.37.93,1
93.146.128.133,1
203.171.62.228,1
27.5.94.221,1
115.120.220.179,1
72.56.150.150,1
140.29.40.43,1
61.57.62.247,1
76.128.95.185,1
142.92.111.242,1
118.23.216.0,1
109.17.204.56,1
212.153.110.146,1
59.138.247.230,1
6.64.251.220,1
137.104.11.138,1
170.112.189.99,1
21.28.78.79,1
50.30.140.36,1
76.154.100.68,1
194.120.14.24,1
201.55.168.126,1
69.29.17.248,1
85.236.61.31,1
170.211.138.30,1
172.97.181.148,1
107.247.253.62,1
45.35.146.21,1
118.175.170.127,1
43.100.128.47,1
16.65.249.237,1
24.79.26.247,1
122.130.86.58,1
110.54.165.63,1
193.45.37.6,1
191.56.96.54,1
68.123.14.202,1
168.106.24.90,1
19.14.168.54,1
68.144.93.235,1
168.159.245.149,1
211.64.146.125,1
22.96.76.59,1
43.219.176.9,1
163.93.76.114,1
36.148.218.135,1
37.225.176.201,1
204.179.190.185,1
123.233.44.106,1
154.223.194.82,1
158.145.58.183,1
82.213.128.111,1
193.109.94.146,1
189.14.24.22,1
122.108.169.214,1
7.195.147.252,1
64.58.36.254,1
179.161.134.184,1
61.217.244.146,1
167.60.226.61,1
21.23.245.141,1
135.172.206.155,1
183.2.17.209,1
205.172.143.0,1
89.234.123.19,1
180.17.247.177,1
157.164.90.122,1
7.220.81.96,1
123.185.30.222,1
22.188.5.93,1
185.157.240.136,1
107.0.155.243,1
195.177.54.54,1
50.191.236.203,1
221.219.44.103,1
36.211.253.244,1
86.165.141.178,1
19.155.138.245,1
70.228.121.60,1
204.219.67.217,1
201.86.3.78,1
13.200.168.199,1
61.152.211.241,1
155.90.185.195,1
46.229.143.176,1
218.214.206.217,1
38.130.51.208,1
190.9.156.57,1
27.57.214.142,1
46.220.52.17,1
86.45.110.141,1
92.133.40.138,1
29.187.204.185,1
178.79.44.158,1
168.230.63.34,1
170.34.138.235,1
221.187.162.221,1
174.67.68.203,1
199.219.72.118,1
159.213.20.78,1
44.24.112.64,1
71.28.47.114,1
107.70.70.221,1
38.176.49.37,1
118.36.129.69,1
31.41.38.21,1
76.111.202.72,1
42.40.168.103,1
148.126.105.201,1
125.5.69.191,1
130.204.139.35,1
165.165.89.101,1
100.247.164.6,1
154.189.148.49,1
88.204.79.6,1
64.153.177.110,1
149.253.227.55,1
77.40.158.129,1
160.148.168.183,1
214.36.26.162,1
75.160.180.145,1
149.125.243.212,1
169.21.155.127,1
171.38.239.42,1
92.192.73.229,1
72.77.74.9,1
129.189.216.143,1
197.202.27.160,1
60.223.224.39,1
218.187.232.192,1
172.26.245.135,1
21.131.246.181,1
57.64.88.197,1
117.180.242.111,1
144.98.223.88,1
121.165.184.11,1
217.68.188.168,1
197.49.231.196,1
205.63.22.106,1
64.111.164.43,1
216.215.211.18,1
183.6.121.71,1
62.75.113.77,1
216.196.28.158,1
59.130.224.255,1
74.58.58.46,1
174.146.252.123,1
107.24.14.107,1
43.21.38.240,1
41.177.63.177,1
140.199.137.100,1
117.235.111.116,1
144.25.158.239,1
109.197.80.147,1
206.106.57.176,1
81.164.233.152,1
123.171.184.232,1
110.132.126.21,1
164.100.122.239,1
98.123.107.77,1
90.212.23.56,1
68.159.228.93,1
24.22.149.26,1
146.21.102.253,1
194.234.162.202,1
147.51.254.72,1
123.137.242.84,1
218.199.100.246,1
72.133.31.200,1
105.23.80.132,1
192.71.135.165,1
9.53.243.2,1
175.197.78.254,1
78.172.11.97,1
52.60.84.83,1
144.62.44.31,1
46.227.63.254,1
202.242.212.55,1
55.254.137.72,1
207.157.165.225,1
158.64.80.181,1
47.104.175.219,1
205.187.4.102,1
204.181.156.0,1
73.162.206.250,1
73.201.71.6,1
139.195.148.49,1
193.199.239.126,1
50.222.101.194,1
18.182.113.129,1
215.251.119.225,1
157.91.254.247,1
194.248.29.212,1
206.207.199.114,1
51.131.211.140,1
48.127.124.127,1
36.70.101.165,1
33.185.161.157,1
63.65.61.99,1
145.138.218.23,1
196.194.50.241,1
215.5.7.197,1
45.62.161.202,1
31.226.121.151,1
46.144.162.187,1
55.136.160.245,1
123.195.89.57,1
91.194.147.130,1
87.204.43.49,1
116.107.209.186,1
89.77.186.73,1
206.207.48.46,1
175.156.131.104,1
59.14.235.25,1
31.216.17.77,1
5.35.109.169,1
158.120.65.227,1
150.9.27.19,1
124.124.105.74,1
47.212.142.21,1
10.90.47.5,1
117.97.204.110,1
187.197.11.144,1
152.193.86.107,1
159.102.43.101,1
34.167.108.175,1
88.65.239.52,1
21.79.133.234,1
125.111.212.249,1
19.83.69.229,1
104.156.21.123,1
136.66.208.155,1
209.161.38.244,1
46.226.152.179,1
202.11.63.49,1
158.144.143.90,1
56.200.187.27,1
49.24.193.94,1
52.18.54.120,1
7.198.146.170,1
212.145.135.159,1
3.118.79.165,1
69.164.58.219,1
9.31.161.82,1
58.243.244.213,1
110.212.170.21,1
203.33.240.253,1
56.220.194.14,1
26.247.4.109,1
85.69.149.85,1
223.213.102.111,1
91.20.53.117,1
44.67.194.108,1
74.34.94.239,1
79.171.1.155,1
121.217.211.213,1
187.142.95.56,1
100.253.162.223,1
152.65.55.56,1
8.30.176.111,1
134.62.160.122,1
50.53.189.125,1
210.18.79.37,1
43.250.137.209,1
220.9.223.196,1
11.39.120.114,1
39.141.115.202,1
109.9.240.107,1
197.119.239.236,1
71.203.239.172,1
14.59.56.74,1
75.118.190.146,1
157.38.225.119,1
111.141.97.180,1
160.146.191.30,1
204.129.91.203,1
208.69.237.108,1
116.12.80.116,1
21.212.222.254,1
188.5.118.35,1
104.75.100.253,1
12.163.45.8,1
181.12.178.114,1
5.54.3.221,1
183.172.156.120,1
157.5.83.69,1
74.216.222.94,1
138.230.84.186,1
147.145.65.128,1
7.133.41.239,1
102.23.64.2,1
184.99.107.184,1
30.29.44.104,1
55.210.48.133,1
147.173.11.4,1
182.11.110.8,1
205.46.59.104,1
47.182.229.23,1
182.22.10.254,1
31.243.169.112,1
206.182.94.109,1
171.247.4.156,1
190.109.214.204,1
143.206.49.2,1
175.227.219.0,1
175.204.107.216,1
215.102.228.36,1
49.126.133.177,1
142.221.128.188,1
64.112.118.102,1
121.69.27.10,1
156.223.190.24,1
88.28.87.41,1
122.21.158.210,1
95.188.115.128,1
110.174.196.227,1
62.156.64.165,1
216.250.141.138,1
192.217.21.40,1
34.96.135.41,1
198.249.153.149,1
152.65.175.192,1
110.238.142.101,1
165.183.173.131,1
199.1.140.129,1
109.89.146.42,1
205.37.0.136,1
82.243.180.194,1
133.45.221.126,1
91.73.252.92,1
166.253.212.92,1
87.142.87.242,1
133.109.76.93,1
115.202.177.66,1
12.17.46.235,1
65.44.31.247,1
190.80.20.82,1
